"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
48453001303,"Texas","Travis County",4029,2107,1922,11.5,81.1,1,0.3,5.3,0,3523,82087,9319,71754,10963,9.5,1.9,68.1,6.4,21.1,0.5,4,70.3,2.6,3.8,0.7,4.6,17.9,21.3,2733,80.9,6.2,12.8,0,3.7
48453001304,"Texas","Travis County",4351,2440,1911,19.1,75.5,0.6,0,2.4,0,3602,86458,7215,57956,8791,4.9,2.5,53.2,15.8,23.1,2.1,5.8,62.3,5,3.8,2.6,5,21.3,22.6,2891,76.8,10.8,12.5,0,3.1
48453001305,"Texas","Travis County",5681,2972,2709,18.9,74.5,4.1,0,0.8,0,4742,64602,9883,50705,6791,17.6,39.6,63.3,14.2,14.2,5,3.2,70.1,4.8,4.5,5.7,4.2,10.6,16.7,3783,69.5,11.6,18.9,0,5.7
48453001307,"Texas","Travis County",3775,1985,1790,32.2,53.6,8.4,0,4.9,0,2924,52162,10893,39702,4885,20.3,53.1,50.1,20.4,22.5,5.1,1.9,73.2,3.6,7,0,7.6,8.5,20.3,2298,83.3,11.7,5,0,2.2
48453001308,"Texas","Travis County",2926,1598,1328,34.2,60.1,2.7,0,3,0,2514,60185,7128,41653,5273,10,20,50.9,25.4,17.3,1.8,4.7,72.8,7.6,6.8,1.5,2.5,8.8,21,2298,77.6,13.1,9.3,0,2.4
48453001401,"Texas","Travis County",3360,1693,1667,12.3,76,2.4,1.9,3.8,0,2949,77542,6642,49869,4841,10.1,35.8,64.3,12.7,20.1,0.3,2.6,66.6,3.7,3.2,4.7,7.1,14.6,18.1,2350,81.3,12.5,6.2,0,4.3
48453001402,"Texas","Travis County",2617,1330,1287,13.1,82.4,0.9,0,0,0,2074,67237,16557,50182,5755,10.1,0,68,13.9,16.2,0.5,1.4,73.8,2.8,3.2,0.5,4.8,14.9,21.9,1754,78.2,15.6,6.2,0,4.6
48453001403,"Texas","Travis County",1723,1012,711,36.2,53.3,4.9,0,3.1,0,1306,41860,5830,28019,4519,20.8,16.3,36.1,21,27.7,11,4.1,78.4,6.8,5.6,1.3,3.5,4.4,20.9,1024,74.4,13.7,11.9,0,7.9
48453001501,"Texas","Travis County",5413,2725,2688,4.6,92.5,0.7,0,1.5,0,4201,101250,10142,49558,5076,4.1,0,67.6,10.6,16.4,3.2,2.1,72.5,9,2.2,3.6,2.2,10.4,19.7,2957,70.8,20.7,8.4,0,3.7
48453001503,"Texas","Travis County",3989,2219,1770,31.2,57.7,3.7,0,3.6,0,3045,51810,12082,34384,4364,15.6,12.4,49.7,22.9,20.3,1.5,5.6,71.2,8.7,6.3,0.7,6,7,21.7,2760,74.1,13.7,11.5,0.7,5.8
48453001504,"Texas","Travis County",5371,2609,2762,17.2,71.4,2.5,0.5,5.3,0,4186,87832,22708,53827,9703,8.4,4.5,63.9,12,20,2.9,1.2,73.1,7.4,3.7,1.2,2.7,11.8,17.8,3718,78.2,15.5,6.2,0,1.3
48453001505,"Texas","Travis County",4342,2262,2080,9.5,83.4,0.6,0,1.9,0,3580,57865,16641,45142,6784,10.1,5.7,56.3,13.5,19.1,2.1,9.1,77.6,5,3.6,0,2.6,11.3,22.9,2959,68.3,21.7,10,0,2.4
48453001602,"Texas","Travis County",3277,1869,1408,8.1,58.2,0.6,0,31.7,0,1866,75625,16227,59446,7010,10.9,15.5,74,4.6,18,2.3,1.1,61,3.3,22.9,1.2,0.9,10.7,20.1,2459,61.5,33.4,5,0,0.8
48453001603,"Texas","Travis County",5075,2504,2571,5.6,90,0.3,0,2.4,0,3470,141705,21058,80215,12608,3.4,1.4,81.6,2.5,14.7,0.3,0.9,76.2,3.3,1.4,0.8,2.6,15.7,16.7,2495,71.8,14.7,12.9,0.6,1.1
48453001604,"Texas","Travis County",4124,1962,2162,4.5,94.2,0,0,0.4,0,3005,151042,29754,91722,14742,3.1,2,76.7,3,17.3,1.3,1.7,78.8,6.1,0,1.2,0.6,13.2,19.2,2047,74.8,18.4,6.8,0,0.7
48453001605,"Texas","Travis County",4041,1974,2067,9.5,87.7,0.3,0,2.3,0,3246,89798,27568,80782,12100,10.3,4.5,68.4,4.7,23.4,1.3,2.3,76.4,2.9,1.1,1.2,2.6,15.9,18.4,2681,70.5,12.8,16.3,0.4,5.8
48453001707,"Texas","Travis County",5061,2550,2511,20,72.3,3.6,0,2.5,0,4035,72982,8193,44130,4205,8,2.1,63.1,10.1,20.2,2,4.5,81.7,3.6,2,1.8,0.7,10.2,20.2,2724,73.3,21.8,4.9,0,2.1
48453001712,"Texas","Travis County",4945,2273,2672,36.2,56.6,6.5,0.3,0.4,0,3457,59688,4387,30802,3384,15.5,33.7,52.8,12.9,21.4,5.5,7.4,74.5,9,4,1.7,1.9,8.8,22.8,2377,75.3,16.2,7.2,1.3,9.7
48453001713,"Texas","Travis County",4448,2000,2448,34.8,55.2,4,0.2,2,0,3428,62523,8242,35239,3874,13.2,30,44.6,18.5,28.9,3.1,4.9,69.7,10.1,4.6,0.6,5.9,9.1,25,2696,74.2,15.2,10.6,0,5.3
48453001728,"Texas","Travis County",7403,3412,3991,28.6,57.8,4.5,0,3.1,0,5771,77722,5122,38251,4855,5.4,0,47,17.5,25.7,5.2,4.6,77,9.7,2.7,0.9,0.3,9.4,29.1,4639,73.3,16.4,9.8,0.5,2.7
48453001729,"Texas","Travis County",4650,2286,2364,31.7,59.5,0.6,0,6.8,0,3559,65461,12915,33688,4409,6.9,13.9,45.4,19.5,20.1,10.1,4.9,87.1,6.4,3,0,0.8,2.6,25.2,3026,71.3,21.2,7.5,0,2.5
48453001747,"Texas","Travis County",5743,3194,2549,35,49.5,8.9,1.2,2.5,0,4091,57594,12483,26207,2681,21.9,28.8,44.8,18,26.6,3.5,7.1,86.1,2.8,3.6,1,1.8,4.6,28,3068,76.1,16.7,7.2,0,5.5
48453001748,"Texas","Travis County",6880,3369,3511,31.7,56.1,3.2,0,4.8,0,4753,80593,14592,35156,3983,11.6,12.9,49.1,13,26.7,5.8,5.4,84,7.8,0.8,0.2,2,5.2,26.5,4079,77.8,14.6,7.6,0,2.7
48453001750,"Texas","Travis County",5115,2433,2682,36.3,49.2,1.4,0,10.7,0,3607,67130,9645,47135,9340,6.9,5.8,63.3,16.5,15.4,3,1.8,77.5,5.8,3.1,2.4,2.5,8.7,23.8,3177,75,20.3,4.8,0,4.4
48453001752,"Texas","Travis County",3926,1744,2182,14.7,51.9,4,1.7,24.8,0,2405,35365,8210,23086,3110,35.9,45.1,65.5,10,18.7,0.7,5.1,66.5,3.6,20.7,5,1,3.2,19.7,2440,64.5,29.3,5.6,0.5,0.7
48453001769,"Texas","Travis County",5691,2710,2981,18.5,72.9,0.5,0,5.4,0.1,4320,109063,17718,47080,4623,1,0,61.6,5.8,25.7,3.1,3.7,81.5,3.7,0.5,0,1,13.4,28.2,3229,65.1,19.2,15.1,0.6,1
48453001804,"Texas","Travis County",6970,4031,2939,62.4,29.4,6.4,0,1.8,0,3578,43970,5524,24202,5257,27.1,45.4,27.4,28.1,17.5,14.2,12.8,64.4,29.2,3.2,1.8,0.4,1,26.8,3791,89.8,8.3,1.9,0,7.7
48453001805,"Texas","Travis County",4911,2980,1931,67.3,21.7,6.1,0,2.7,0,2169,33594,6882,19789,2602,32.9,51.2,18.7,38,15.2,19.4,8.8,57.3,30.7,7.6,0,1,3.4,25.3,2923,89.7,5.4,4.9,0,2.2
48453001811,"Texas","Travis County",3626,2024,1602,63.4,22.3,13.3,0.2,0.8,0,1584,35787,4536,20961,3399,36.4,56.9,24.9,31.7,16.6,17.4,9.4,67,20.9,1.8,4.1,0.2,5.9,26.7,1818,83.5,13,3.5,0,4.1
48453001813,"Texas","Travis County",7236,3844,3392,67.3,14.1,12.9,0,3.8,0,2598,34918,4183,18921,2282,32.5,52.2,14.2,30.5,17,25.1,13.1,66.5,23.2,5,0.9,2.2,2.3,28.9,3711,83.7,10,6.1,0.2,4.7
48453001817,"Texas","Travis County",3982,1899,2083,14.3,77.9,0,0,3.8,0,3372,57325,7321,48408,9162,11.2,10.7,51.5,8.8,24.2,4.3,11.3,67.3,5.1,8.8,2.2,5,11.5,25,2720,77.4,14.5,8.1,0,2.3
48453001818,"Texas","Travis County",6166,3038,3128,62.2,30.9,2,0,3.1,0,2620,54176,8385,25561,6306,34.7,59,33.3,29.7,14.3,16.7,5.9,73.5,14.6,5.7,0,1.2,5.1,23.2,2932,77.9,12.8,9.3,0,5.6
48453001819,"Texas","Travis County",4193,2371,1822,61.3,25.9,4.1,0.3,6.9,0,1424,34583,3080,17773,2737,40.6,57.8,23.7,26.7,15.5,23.5,10.6,72.2,17.5,3.7,2.5,1.8,2.3,21.9,1964,87.7,7.9,4.3,0,6
48453001820,"Texas","Travis County",7425,3874,3551,68.8,16.9,9.9,0.5,1.7,0,3197,35090,4429,17365,2807,29.2,51.6,14.3,23,23.8,27.2,11.7,70.4,16,3.8,1.3,5.1,3.5,22.1,3954,90,4.6,5.5,0,5
48453001821,"Texas","Travis County",5988,3031,2957,57.3,28.6,9.5,0,2.2,0,3418,56196,6086,22612,2394,15.1,20,33.4,24.5,19.1,12.2,10.8,74.2,16.3,1.5,0,3.9,4.1,20.8,3087,81,11.3,7.7,0,7.3
48453001822,"Texas","Travis County",7167,3895,3272,71.6,19.9,4.8,0,0.9,0,2693,38250,5761,19497,2921,28.1,57.9,12.4,32.2,19,22.3,14.2,62.8,24.7,6,0.7,3.1,2.7,27.1,4008,86.4,8.7,4.9,0,5.3
48453001823,"Texas","Travis County",7492,4253,3239,69.4,10.9,15.5,0,2.2,0,2652,37163,3456,16064,1893,29.9,41.3,11,31,16,26.5,15.5,65.2,20.5,8.1,0.5,1.7,4,24.8,3739,81.9,6.3,11.7,0,5.8
48453001839,"Texas","Travis County",7969,3995,3974,34,28.2,11.7,0,24.4,0,5579,68650,7234,33231,3491,6.5,10.1,39.8,15,27.3,4.5,13.5,76.1,16.3,0.3,1.3,1.3,4.8,20.5,5458,82.6,12.2,5.3,0,3.3
48453001843,"Texas","Travis County",2523,1268,1255,32.7,49.4,4.1,1,9.5,0,1917,68917,5592,33658,3301,12.8,24.7,48.2,9.4,21.8,11.9,8.7,82.9,8.5,2,0,1.9,4.8,22,1445,79.6,14.7,5.7,0,4.4
48453001844,"Texas","Travis County",3620,1844,1776,32.3,50.3,11,0,3.5,0,2528,49171,3518,30059,5529,12.9,22.1,46.6,23.1,17.4,3.9,9,77.2,12.1,3.5,1.2,0.5,5.6,20.1,2132,82,12.3,5.3,0.5,4.1
48453001845,"Texas","Travis County",2970,1451,1519,20.6,70.3,1.8,0,6.3,0,2279,63068,6492,37983,4010,12.2,10.7,59.3,11.8,20.6,4.5,3.9,80.6,8.5,2.3,0,2.3,6.3,26.4,1766,77.3,16.6,6.1,0,2.6
48453001849,"Texas","Travis County",6914,3862,3052,22.7,50.2,8.3,0,15.9,0,5204,57253,6097,45305,4592,11.9,32.1,55.3,10.7,25.6,2.5,6,79.7,5.3,0.9,6.2,1.3,6.6,18.8,5427,82.8,12.2,5,0,3
48453001901,"Texas","Travis County",5641,2944,2697,18.8,76.8,0.2,0,0.7,0,4423,73917,12499,52832,5053,6.2,5.3,62,15.9,14.3,2.9,4.9,77.3,7.3,1.5,0.8,4.7,8.4,18.5,3674,81.9,13.6,4.1,0.4,2.9
48453001910,"Texas","Travis County",4621,2328,2293,11.5,76.5,1.8,0,7.7,0,3292,122961,24925,70721,9102,9,17.8,67.7,8.8,19.8,2,1.6,71.5,7.3,0.5,1.9,4,14.7,22.4,2127,78.8,10.5,10.2,0.4,5.1
48453001911,"Texas","Travis County",3141,1391,1750,21.5,64.7,1.4,0.4,10.3,0,2493,68229,7484,51175,7770,7.3,11,64.1,11.1,21.5,0,3.3,76.5,5.2,1.9,1.8,2.7,12,18,2487,82.3,12.3,5.5,0,1.2
48453001917,"Texas","Travis County",4978,2506,2472,9.1,80.2,0,0,5.6,2.8,3181,169792,24142,69547,7078,4.6,6.1,72.1,2.8,23.8,0,1.3,74.5,4.3,0.4,0.5,0.9,19.4,22.7,2309,78.4,8.3,12.9,0.4,4.5
48453001919,"Texas","Travis County",3809,1888,1921,7.3,82.9,0,0,5.4,0,2621,148958,17978,80713,7928,1.1,1.6,75.7,5.3,16,1.8,1.1,76.4,6.1,0,0.4,0.5,16.6,16.9,1740,75.6,9.9,14.5,0,3.8
48453002002,"Texas","Travis County",3334,1788,1546,35,60.1,3.9,0,1,0,2732,68913,9457,37349,5686,5.5,1.6,40.8,17.6,22.3,14.5,4.8,72.2,5.9,6.3,0.6,3.5,11.4,26.8,2024,78.9,10.2,11,0,4.3
48453002003,"Texas","Travis County",4061,1970,2091,50.8,41.7,5.9,0.1,1,0,2506,45660,6534,24638,3230,18.4,24.2,31,24.6,24.4,10.3,9.6,69.7,12.9,9.6,3.4,0.9,3.5,22.3,2117,74.1,15.4,10.5,0,6.4
48453002004,"Texas","Travis County",2457,1026,1431,21.7,62.1,3.1,0,7.2,0,2175,45647,5069,45944,9459,12.2,0,54.9,23.3,15.1,3.9,2.8,69.3,5.7,7.1,5,2.3,10.7,20.8,1903,79.2,13.3,7.5,0,4.3
