STATEFP00,COUNTYFP00,TRACTCE00,CTIDFP00,NAME00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00
"48","453","001729","48453001729","17.29",Census Tract 17.29,G5020,S,"3153987","0","+30.2027502","-097.8293771"
"48","453","001728","48453001728","17.28",Census Tract 17.28,G5020,S,"3609835","0","+30.1957498","-097.8165584"
"48","453","001503","48453001503","15.03",Census Tract 15.03,G5020,S,"3474896","0","+30.3272586","-097.7157700"
"48","453","001501","48453001501","15.01",Census Tract 15.01,G5020,S,"3474756","0","+30.3465764","-097.7433029"
"48","453","001745","48453001745","17.45",Census Tract 17.45,G5020,S,"3410559","0","+30.4243914","-097.7380184"
"48","453","001744","48453001744","17.44",Census Tract 17.44,G5020,S,"5802426","0","+30.4400038","-097.7415069"
"48","453","002421","48453002421","24.21",Census Tract 24.21,G5020,S,"8261741","0","+30.1629390","-097.8064075"
"48","453","002423","48453002423","24.23",Census Tract 24.23,G5020,S,"2581284","0","+30.1798087","-097.8062870"
"48","453","002314","48453002314","23.14",Census Tract 23.14,G5020,S,"2482934","0","+30.2246964","-097.7155118"
"48","453","001748","48453001748","17.48",Census Tract 17.48,G5020,S,"5355678","0","+30.1702296","-097.8391319"
"48","453","001912","48453001912","19.12",Census Tract 19.12,G5020,S,"13558102","1548994","+30.3271346","-097.8209620"
"48","453","001752","48453001752","17.52",Census Tract 17.52,G5020,S,"941287","0","+30.3575940","-097.7498383"
"48","453","001760","48453001760","17.60",Census Tract 17.60,G5020,S,"33004998","1463289","+30.3643612","-097.8919136"
"48","453","001742","48453001742","17.42",Census Tract 17.42,G5020,S,"21443163","807705","+30.3627266","-097.9309549"
"48","453","001847","48453001847","18.47",Census Tract 18.47,G5020,S,"3124148","0","+30.4283475","-097.6904419"
"48","453","001848","48453001848","18.48",Census Tract 18.48,G5020,S,"3366626","0","+30.4128065","-097.6797885"
"48","453","001755","48453001755","17.55",Census Tract 17.55,G5020,S,"7426471","0","+30.4093020","-097.7785353"
"48","453","001756","48453001756","17.56",Census Tract 17.56,G5020,S,"2108196","0","+30.4260918","-097.7698228"
"48","453","001764","48453001764","17.64",Census Tract 17.64,G5020,S,"100188204","17892244","+30.4074805","-098.0504967"
